" LEA","LEADESC"
"R3ERIE025PW2","ERIE HIGHLANDS"
"R3ERIE026","ERIE HIGHLANDS FG16"
"R3ERIE027","ERIE HIGHLANDS 18"
"R3ERIE030","GRANDVIEW"
"R3ERIE035","GRANDVIEW TH"
"R3ERIE036","SUNSET"
"R3ERIE036PW1","SUNSET CPW"
"R3ERIE040","ERIE AIR PARK RUNWAY"
"R3ERIE045","ERIE AIR PARK"
"R3ERIE050","DEARMIN MINOR"
"R3ERIE055","HUNTLEY CREEK CONDO"
"R3ERIE060","ERIE COMMONS TH"
"R3ERIE060PW2","ERIE COMMONS TH"
"R3ERIE065","ERIE COMMONS"
"R3ERIE070","FEUER"
"R3ERIE075","BLUE SKY CONDO"
"R3ERIE080","VISTA RIDGE HERITAGE"
"R3ERIE085","ERIE AIR PARK WEST"
"R3ERIE095","VISTA POINTE"
"R3ERIE100","VISTA POINTE LARGE LOTS"
"R3ERIE105","VISTA RIDGE WEST"
"R3ERIE106","VISTA RIDGE WEST NEW"
"R3ERIE106PW1A","VISTA RIDGE WEST CPW"
"R3ERIE110","VISTA RIDGE"
"R3ERIE115","VISTA SMALL LOT"
"R3ERIE120","VISTA"
"R3ERIE135","MORGAN"
"R3ERIE136","MORGAN FG 2"
"R3ERIE140","NORTHRIDGE"
"R3ERIE145","SUMMIT @ MTN VIEW"
"R3ERIE150","SIERRA VISTA"
"R3ERIE155","RIEDER MINOR"
"R3ERIE160","SUNSET MINOR"
"R3ERIE165","BRIDGEWATER SOUTH"
"R3ERIE170","BRIDGEWATER NORTH"
"R3ERIE175","WESTERLY"
"R3ERIE176","WESTERLY SMALL LOTS"
"R3ERIE177","WESTERLY FG 3 SOUTH"
"R3ERIE177PW1","WESTERLY FG 3 COST PW"
"R3ERIE180","SUMMERFIELD"
"R3ERIE180PW1","SUMMERFIELD CPW"
"R3ERIE181","SUMMERFIELD FG 2"
"R3ERIE181PW1","SUMMERFIED FG 2 CPW"
"R3ERIE185","ERIE JUNCTION"
"R3ERIE190","NORTH WESTERLY"
"R3ERIE900","ERIE MH PARK"
"R3ERIE905","HOME PARK MH PARK"
"R3ERIE910","ERIE MOBILE HOME PARK LLC"
"R3FIRE005","BOOTH FARMS"
"R3FIRE010","BROOKS FARM"
"R3FIRE015","BUFFALO ACRES"
"R3FIRE020","CIMARRON POINTE CONDO"
"R3FIRE025","CIMARRON POINTE TOWNHOMES"
"R3FIRE030","COTTONWOOD HOLLOW"
"R3FIRE035","FIRESTONE BLOCKS"
"R3FIRE040","FIRESTONE CENTRAL PARK"
"R3FIRE045","FIRESTONE VILLAS"
"R3FIRE050","GLOBE SUBDIVISION"
"R3FIRE055","MONARCH ESTATES"
"R3FIRE060","MOUNTAIN SHADOWS"
"R3FIRE065","NEIGHBORS POINT"
"R3FIRE070","OVERLOOK"
"R3FIRE075","OWL LAKE ESTATES"
"R3FIRE080","RANCHETTE SUBDIVISIONS"
"R3FIRE085","RIDGE CREST"
"R3FIRE090","RUSSELL SUB"
"R3FIRE095","SADDLEBACK"
"R3FIRE100","ST VRAIN"
"R3FIRE105","THE SHORES"
"R3FIRE110","TIMBERLAND"
"R3FIRE115","ZADEL RANCH WESTWOOD DEV"
"R3FIRE120","OAK MEADOWS"
"R3FIRE125PW1","OAK MEADOWS TOWNHOMES"
"R3FIRE126PW1","OAK MEADOWS TOWNHOMES FG 2"
"R3FIRE130","BAREFOOT LAKES"
"R3FIRE130PW10","BAREFOOT LAKES FG 7 A"
"R3FIRE130PW11","BAREFOOT LAKES FG 7 B"
"R3FIRE130PW12","BAREFOOT LAKES APARTMENTS"
"R3FIRE130PW2","BAREFOOT LAKES"
"R3FIRE130PW3","BAREFOOT LAKES"
"R3FIRE130PW4","BAREFOOT LAKES"
"R3FIRE130PW7","BAREFOOT LAKES FG5"
"R3FIRE130PW8","BAREFOOT LAKES FG 4 1ST REPLAT"
"R3FIRE130PW9","BAREFOOT LAKES FILING NO. 6"
"R3FIRE140","SADDLEBACK HEIGHTS"
"R3FIRE145","VISTAS AT SADDLEBACK FG #1"
"R3FIRE150","DENMORE"
"R3FIRE150PW1","DENMORE FG NO. 2"
"R3FIRE150PW2","DENMORE FG NO. 3"
"R3FIRE150PW3","DENMORE FG NO.4"
"R3FIRE900","EAGLE CREST MH PARK"
"R3FRED005","ANGEL VIEW"
"R3FRED010","AVOCET 1ST"
"R3FRED015","CARRIAGE HILLS FG2"
"R3FRED016","CARRIAGE HILLS FG1 RPL A"
"R3FRED016PW1","CARRIAGE HILLS CPW"
"R3FRED020","COALRIDGE ESTATES"
"R3FRED025","COUNTRYSIDE SUB"
"R3FRED030","DEL REY"
"R3FRED035","DOERING/MODRALL"
"R3FRED040","EAGLE VALLEY"
"R3FRED045","EVANSTON"
"R3FRED050","FOX RUN"
"R3FRED055","FREDERICK BLOCKS"
"R3FRED060","FRONTIER ESTATES"
"R3FRED060PW1","FRONTIER ESTATES FILING 2"
"R3FRED065","GROVE TOWNHOMES"
"R3FRED070","HEPP FARM SUBDIVISION"
"R3FRED071","HEPP FARM AMEND 2"
"R3FRED075","HERITAGE PLACE TWNHMS"
"R3FRED080PW1","HIDDEN CREEK"
"R3FRED085","JOHNSON FARMS"
"R3FRED090","MAPLE RIDGE"
"R3FRED095","PARKVIEW ESTATES"
"R3FRED100","MAPLEWOOD"
"R3FRED105","SAVANNAH"
"R3FRED110","MINERS"
"R3FRED115","MOORE FARM"
"R3FRED120","NO NAME CREEK"
"R3FRED125","PHEASANT VIEW ESTATES"
"R3FRED130","RANCHETTE SUBDIVISIONS"
"R3FRED135","RASPBERRY HILL"
"R3FRED140","SAGEBRUSH"
"R3FRED150","SILVER STONE"
"R3FRED150PW1","SILVERSTONE"
"R3FRED150PW2","SILVERSTONE"
"R3FRED150PW3","SILVERSTONE FG 1 RPLT A"
"R3FRED151","SILVERSTONE FG 5"
"R3FRED155","STONERIDGE"
"R3FRED160","SUMMIT VIEW"
"R3FRED165","THE VILLAGE AT FREDERICK"
"R3FRED175PW1","VILLAGE EAST COMMUNITIES RPLT 2"
"R3FRED175PW2","VILLAGE EAST 2"
"R3FRED180","WESTVIEW SUBDIVISION"
"R3FRED185","JESSER FARM SUBDIVISION"
"R3FRED190","SKYLINE RIDGE"
"R3FRED200","CANINO AMD"
"R3FRED205","RUSSELL SUB"
"R3FRED210PW1","PROSPERITY"
"R3FRED215","NELSON FARM"
"R3FRED220","CLEARVIEW VILLAGES"
"R3FRED235","DREAMERS RIDGE RPLT A"
"R3FRED900","PRAIRIE GREENS MH PARK"
"R3LONG005","BACHMAN CONVEYANCE"
"R3LONG010","CONTINENTAL VIEW POND PUD"
"R3LONG015PW1","DREAMERS RIDGE"
"R3LONG016","DREAMERS RIDGE PH 2"
"R3LONG020","FOX CHASE"
"R3LONG025","GRANDVIEW HIGHLAND ESTATE"
"R3LONG030PW1","HAUCK FARM"
"R3LONG035","IDAHO CREEK"
"R3LONG040","INDIAN PEAKS PUD"
"R3LONG045","LIGHTHOUSE COVE"
"R3LONG050","MEADOW VALE FARM"
"R3LONG055","MENDOZA MINOR"
"R3LONG060","MORNINGSIDE"
"R3LONG065","NELSON LAKES"
"R3LONG070","PURITAN"
"R3LONG075","RINN VALLEY"
"R3LONG080PW1","SILVER OWL LANE"
"R3LONG090","JM SMUCKERS"
"R3LONG095","SPRINGS AT SANDSTONE RANCE"
"R3LONG100","VICTORY VALLEY"
"R3LONG105","WILDFLOWER"
"R3LONG110","WYNDHAM HILLS"
"R3LONG110PW4","WYNDHAM HILLS"
"R3LONG111","WYNDHAM HILL FG2"
"R3LONG115","WYNDHAM HILLS TOWN HOMES"
"R3LONG120","GRIGSBY/FIELING"
"R3LONG130","REFLECTION BAY"
"R3LONG135","COUNTRY MEADOWS FARM"
"R3LONG140","HAUCK"
"R3LONG145","ELMS AT MEADOW VALE"
"R3LONG150","HAUCK MEADOWS II"
"R3LONG155","SPRINGS AT LONGMONT"
"R3MEAD000","MEAD"
"R3MEAD005","MEAD TOWNHOMES"
"R3MEAD010","MEAD WESTERN"
"R3MEAD015","NORTH CREEK"
"R3MEAD020","FEATHER RIDGE"
"R3MEAD025","WELKER FARMS LARGE LOTS"
"R3MEAD030","MEAD VILLAGE"
"R3MEAD035","COYOTE RUN"
"R3MEAD040","VALE VIEW LARGE LOTS"
"R3MEAD045","VALE VIEW SMALL LOTS"
"R3MEAD050","MARGIL FARMS"
"R3MEAD055","MARGIL FARMS 2ND"
"R3MEAD060","MARGIL FARMS 2ND LARGE LOTS"
"R3MEAD070","LAKE HOLLOW ESTATES"
"R3MEAD075","SINGLETREE"
"R3MEAD080","MULLIGAN LAKE"
"R3MEAD085","RANGE VIEW"
"R3MEAD090","HUNTERS COVE"
"R3MEAD095","HUNTERS RIDGE"
"R3MEAD100","EDENS RESERVE"
"R3MEAD105","LIBERTY RANCH"
"R3MEAD110","LAKE RIDGE CONDO"
"R3MEAD115","ST VRAIN LAKES"
"R3MEAD120PW1","ST ACACIUS"
"R3MEAD125","GRAND VIEW ESTATES"
"R3MEAD130","THE HIGHLANDS"
"R3MEAD131","THE HIGHLANDS FG 2"
"R3MEAD135","SORRENTO"
"R3MEAD140","WELKER FARMS"
"R3MEAD145","HIGHLAND ESTATES"
"R3MEAD150","MEAD PLACE"
"R3MEAD155","WATERFRONT"
"R3MEAD900","GOPHER GULCH RV PARK"
"R3OTHR000","DAIRY ECON 3"
"R3OTHR005","FEED LOT ECON 3"
"R3OTHR010","CHICKENS ECON 3"
"R3OTHR015","HOG ECON 3"
"R3OTHR025","TURKEY ECON 3"
"R3OTHR030","GREEN HOUSE ECON 3"
"R3OTHR035","LAND FILL"
"R3OTHR040","BEET DUMP ECON 3"
"R3OTHR055","OTHER AG"
"R3OTHR065","OTHER AG - HORSES ECON 3"
"R3OTHR070","PASTURE MARKET ECON 3"
"R3OTHR080","RIVER BOTTOM/ LAKE ECON 3"
"R3RLND000","ERIE RURAL"
"R3RLND005","DACONO RURAL"
"R3RLND010","FREDERICK RURAL"
"R3RLND015","FIRESTONE RURAL"
"R3RLND020","LONGMONT RURAL"
"R3RLND025","MEAD RURAL"
"R3WELD005","CARLSON SUB"
"R3WELD010","CARMACAR"
"R3WELD015","CAROL/LEISURE"
"R3WELD020","HIGHLAND FARM"
"R3WELD025","HIGHVIEW RANCH"
"R3WELD030","LONGS PEAK"
"R3WELD035","NORCUTT MINOR"
"R3WELD040","PARK LAND ESTATES"
"R3WELD045","RANCH EGGS"
"R3WELD050","WESTVIEW ESTATES"
"R3WELD100","KELLER ESTATES"
"R3WELD105","SUMMIT PEAK ESTATES"
"R3WELD110","BOHRER PUD"
"R3WELD115","SEEMORE HEIGHTS"
"R3WELD120","STAMP MINOR SUB"
"R3WELD125","COUNTY WELD DIST COURT"
"R3WELD130","HIGHLANDS MINOR SUB"
"R3WELD135","PELICAN SHORES PUD 2ND AMD PUDF20-0005"
"R3WELD140","NESTING CRANE"
"R3WELD145","LAKE MEADOWS"
"R3WELD150","HILL LAKES"
"R3WELD160","RED BARN FG 1"
"R3WELD165","RED BARN FG 2"
"R3WELD170","JACOBUCCI SUB"
"R3WELD900","B & B MH PARK"
"R3WELD905","RIVERVALLEY VILLAGE MH PARK"
"R3WELD910","LONGVIEW MH PARK"
"R3WELD920","STOESZ RV PARK"
"R4BRGT000","IDA INDUSTRIAL PARK"
"R4BRGT005","JACOBS RUN"
"R4BRGT010","CHAMBERS"
"R4BRGT015","CORBIN KIDDER"
"R4BRGT020","GOPHERS RUN"
"R4BRGT025","HOMESTEAD"
"R4BRGT025PW1","HOMESTEAD"
"R4BRGT025PW1A","HOMESTEAD CPW"
"R4BRGT025PW2","HOMESTEAD"
"R4DACO000","DISTANT THUNDER"
"R4FIRE000","HOMESTEAD"
"R4FTLP000","OLD FORT LUPTON"
"R4FTLP005","VINCENTS"
"R4FTLP010","LANCASTER"
"R4FTLP015","MOUNTVIEW"
"R4FTLP020","COYOTE CREEK"
"R4FTLP020PW4","COYOTE CREEK"
"R4FTLP022","COYOTE CREEK DUPLEX"
"R4FTLP025","APPEL FARM"
"R4FTLP035","CEDAR RIDGE TRIPLEX"
"R4FTLP040","CEDAR RIDGE"
"R4FTLP045","GRANDVIEW"
"R4FTLP050","LONE PINE"
"R4FTLP055","FORT LUPTON SOUTH"
"R4FTLP060","LUPTON GARDENS"
"R4FTLP065","EVERIST SOUTH"
"R4FTLP070","COUNTRY DAY"
"R4FTLP075","FULTON VILLAGE"
"R4FTLP080PW1","HOMESTEAD"
"R4FTLP083","MP MINOR"
"R4FTLP085","EDELEN HEIGHTS"
"R4FTLP090","VILLANO"
"R4FTLP095","VILLANO FARMS"
"R4FTLP100","SOUTH FT LUPTON ACRES"
"R4FTLP105","SCHMIDT ESTATES"
"R4FTLP110","COTTONWOOD GREENS PUD FG NO. 2"
"R4FTLP115","LUPTON VILLAGE PUD"
"R4FTLP115PW1","LUPTON VILLAGE PUD 3RD FG"
"R4FTLP130","COTTONWOOD GREENS PUD FILING NO. 1"
"R4FTLP140","COTTONWOOD GREENS PUD FILING NO. 3"
"R4FTLP145","MURATA FARMS FILING NO. 1"
"R4FTLP145PW1","MURATA CPW"
"R4FTLP150","COTTONWOOD GREENS PUD FG NO. 4"
"R4FTLP155","FLATS AT LUPTON VILLAGE"
"R4FTLP160","VISTA MEADOWS PUD FG NO 1"
"R4FTLP165","COYOTE CREEK PUD FG NO. 5"
"R4FTLP170","COTTONWOOD GREENS PUD FILING NO. 5"
"R4FTLP175","COTTONWOOD GREENS PUD FILING NO. 6"
"R4FTLP185","COTTONWOOD GREENS PUD FILING NO. 7"
"R4FTLP190","VISTA MEADOWS P.U.D. SUBDIVISION FILING NO. 2"
"R4FTLP195","COYOTE CREEK FILING NO. 6"
"R4FTLP305","COURTYARDS AT LUPTON VILLAGE PUD"
"R4FTLP310","THUNDER VALLEY"
"R4FTLP315","LUPTON VILLAGE PUD 2ND FG"
"R4FTLP320","NORTH LAND PUD 3RD FG"
"R4FTLP900","COPPER KEY MH PARK"
"R4FTLP905","COPPER KEY NORTH MH PARK"
"R4FTLP910","KISSLERS MH PARK"
"R4FTLP915","WILLOW BEND MH PARK"
"R4LOCH000","SILVERPEAKS"
"R4LOCH000PW1","SILVERPEAKS"
"R4LOCH000PW1A","SILVER PEAKS PW1A"
"R4LOCH000PW1B","SILVERPEAKS"
"R4LOCH000PW1C","SILVER PEAKS CPW"
"R4LOCH005","HIGHPLAINS"
"R4LOCH010","LOCHWOOD"
"R4LOCH015","SPACIOUS LIVING"
"R4LOCH020","LOCHWOOD LOTS"
"R4LOCH025","ALTAMIRA"
"R4LOCH030","BLUE LAKE"
"R4LOCH030PW1","BLUE LAKE"
"R4LOCH030PW1A","BLUE LAKE"
"R4MILL300","HOFFSCHNEIDER"
"R4OTHR000","DAIRY ECON 4"
"R4OTHR005","FEED LOT ECON 4"
"R4OTHR010","CHICKENS ECON 4"
"R4OTHR015","HOG ECON 4"
"R4OTHR020","SHEEP ECON 3"
"R4OTHR025","TURKEY ECON 4"
"R4OTHR030","GREEN HOUSE ECON 4"
"R4OTHR060","OTHER AG - SPECIAL PURPOSE ECON 4"
"R4OTHR065","OTHER AG - HORSES"
"R4OTHR070","PASTURE MARKET ECON 4"
"R4OTHR080","RIVER BOTTOM/ LAKE ECON 4"
"R4PLAT000","PLATTEVILLE"
"R4PLAT005","BELLA VISTA"
"R4PLAT010","PLATTE RIVER FARMS"
"R4PLAT015","NORTH PLATTEVILLE"
"R4PLAT020","REEDS/JEHOREK"
"R4PLAT025","PLATTEVILLE FARLEY"
"R4PLAT030","CALLOW"
"R4PLAT035","VILLAGE VISTA"
"R4PLAT040","OLD HOMESTEAD FARM"
"R4PLAT045","OLD HOMESTEAD DUPLEX"
"R4PLAT050","ROGERS FARM"
"R4PLAT055","STANTON HEIGHTS"
"R4PLAT060","BELLA ESTATES"
"R4PLAT065","PLATTE VIEW"
"R4PLAT900","VALLEY VILLAGE MH PARK"
"R4RLND000","LOCHBUIE RURAL"
"R4RLND005","BRIGHTON RURAL"
"R4RLND010","FORT LUPTON RURAL"
"R4RLND010TM1","FORT LUPTON RURAL"
"R4RLND015","SW ECON 4 RURAL"
"R4RLND020","NW ECON 4 RURAL"
"R4RLND025","NE ECON 4 RURAL"
"R4RLND030","CENTRAL ECON 4 RURAL"
"R4RLND035","PLATTEVILLE RURAL"
"R4RLND040","TOWN RANGE 1213 RURAL"
"R4WELD000","PENCE"
"R4WELD005","MOOREA MANOR"
"R4WELD010","MOOREA MANOR NORTH"
"R4WELD015","MOUNTAIN"
"R4WELD020","VOLLMAR"
"R4WELD025","WATTENBERG"
"R4WELD030","BUFFALO RIDGE"
"R4WELD035","MARTIN BROTHERS"
"R4WELD040","SUNNY ACRES"
"R4WELD050","JO ANN"
"R4WELD055","BIL-LAR ACRES"
"R4WELD060","BEEBE DRAW"
"R4WELD065","MILTON LAKE"
"R4WELD070","GREENACRES"
"R4WELD075","ARISTOCRAT"
"R4WELD075PW1","ARISTOCRAT"
"R4WELD080","MARTIN"
"R4WELD090","SEBOLD"
"R4WELD095","COUNTRY ESTATES"
"R4WELD105","FOX HAVEN"
"R4WELD115","BLUE SKY ESTATES"
"R4WELD120","NORTH LAND PUD"
"R4WELD125","MOUNTAIN SKY"
"R4WELD130","JACOBUCCI SUB"
"R4WELD135PW1","HERGEMUELLER"
"R4WELD150","LG EVERIST AT WEST FARMS"
"R4WELD155","SILVER LININGS"
"R4WELD900","NEW VISION MH PARK"
"R4WELD910","B BOLD RANCH RV PARK"
"R4WELD915","BASSETT RV PARK"
"R5HUDS005","EASTRIDGE"
"R5HUDS010","OLD HUDSON"
"R5HUDS015","OLD HUDSON MRA"
"R5HUDS020","HUDSON HILLS"
"R5HUDS025","SUNRISE ACRES"
"R5HUDS030","HUDSON HILLS FILING  NO 2"
"R5HUDS035","HUDSON HILLS FILING NO 3"
"R5HUDS040","HUDSON HILLS FILING NO 4"
"R5HUDS900","PEPPER POD KOA CAMPGROUND"
"R5HUDS905","WILLOW BROOK VILLAGE MH PARK"
"R5HUDS910","HUDSON ESTATES MH PARK"
"R5KEEN000","DIAMOND K"
"R5KEEN005","KEENESBURG WEST"
"R5KEEN010","NORTH KEENESBURG"
"R5KEEN015","ASH HOLLOW"
"R5KEEN020","FAIR MEADOWS"
"R5KEEN025","KEENESBURG SOUTH"
"R5KEEN025PW1","KEENESBURG SOUTH"
"R5KEEN030","EVANS PLACE"
"R5KEEN035","EVANS PLACE FG2"
"R5KEEN040","VISTA WEST"
"R5KEEN045","JUDIE ANNE"
"R5KEEN050","SUMMERFIELD NORTH SUBDIVISION FINAL PLAT"
"R5KEEN055","FRUITION COLORADO FG NO. 1"
"R5KEEN055PW1","FRUITION COLORADO FILING NO. 2"
"R5KEEN900","WILD COUNTRY RV PARK"
"R5OTHR000","DAIRY ECON 5"
"R5OTHR005","FEED LOT ECON 5"
"R5OTHR010","CHICKENS ECON 5"
"R5OTHR015","HOG ECON 5"
"R5OTHR025","TURKEY ECON 5"
"R5OTHR030","GREEN HOUSE ECON 5"
"R5OTHR040","BEET DUMP ECON 5"
"R5OTHR055","OTHER AG"
"R5OTHR065","OTHER AG - HORSES ECON 5"
"R5OTHR070","PASTURE MARKET ECON 5"
"R5OTHR075","RANGE ECON 5"
"R5RLND000","ECON 5 RURAL"
"R5WELD010","TOWN OF ROGGEN"
"R5WELD015","APOLLO SUB"
"R5WELD020","VANTAGE ACRES"
"R5WELD025","IRELAND"
"R5WELD030","RED BARON"
"R5WELD035","FROMAN"
"R5WELD040","WEISNER"
"R5WELD900","HERITAGE RV PARK"
"R6EVAN000","RIDGE AT PRAIRIE VIEW"
"R6EVAN005","NORTH POINT"
"R6EVAN005PW1","NORTH POINT"
"R6EVAN010","NORTH POINT TOWNHOMES"
"R6EVAN015","NORTH POINT CONDO"
"R6EVAN055","BAY AT THE LANDINGS"
"R6EVAN060","HUNTERS RESERVE"
"R6EVAN060PW1","HUNTERS RESERVE"
"R6EVAN065","EVANS"
"R6EVAN070","EVANS APARTMENTS"
"R6EVAN075","TIMBERLINE"
"R6EVAN080","RIVERSIDE DUPLEXES"
"R6EVAN085","HEATHERWAY"
"R6EVAN090","KING"
"R6EVAN095","NICKERSON"
"R6EVAN100","APOLLO ESTATES"
"R6EVAN105","RIVER BEND"
"R6EVAN110","COZUMEL CONDOS"
"R6EVAN115","MOSER TOWNHOMES"
"R6EVAN120","CHAPPELOW"
"R6EVAN125","GREEN MEADOWS"
"R6EVAN130","PLATTE VALLEY"
"R6EVAN135","SUNDOWN ESTATES"
"R6EVAN140","WILLOWBROOK"
"R6EVAN145","VILLAGE SUB"
"R6EVAN150","FAULES VALLEY"
"R6EVAN155","VILLAGE CONDOS"
"R6EVAN160","MEADOWS EVANS"
"R6EVAN165","SUNNY VIEW"
"R6EVAN170","SUMMIT VIEW CONDOS"
"R6EVAN175","SOPHIE'S SUB"
"R6EVAN180","SHARLYN TOWNHOMES"
"R6EVAN185","PRINTZ MINOR"
"R6EVAN190","PLEASANT ACRES"
"R6EVAN195","PARKER MEADOWS DUPLEXES"
"R6EVAN200","PARKER MEADOWS TOWNHOMES"
"R6EVAN205","OL HOMESTEAD"
"R6EVAN210","NORTH PARK HEIGHTS"
"R6EVAN215","MONICO GARDENS"
"R6EVAN220PW1","MISSION SPRINGS"
"R6EVAN225","LORWINCINTER"
"R6EVAN230","GRANADOS"
"R6EVAN235","GLENDALE DRIVE CONDOS"
"R6EVAN240","CENTENNIAL PINES"
"R6EVAN245","ELLIOTTS CT"
"R6EVAN250","DOLL MINOR"
"R6EVAN255","DARRELL ROAD CONDOS"
"R6EVAN260","COTTAGES AT THE LANDINGS"
"R6EVAN265","CASSELL"
"R6EVAN270","BORCHERT POINTE"
"R6EVAN275","ARMES"
"R6EVAN285PW1","HERNANDEZ"
"R6EVAN900","COUNTRY ESTATES MH PARK"
"R6EVAN905","GREEN ACRES MOBILE COURT"
"R6EVAN910","BELLA VISTA MH PARK"
"R6EVAN915","TERRACE MH PARK"
"R6EVAN920","CAVE CREEK MH PARK"
"R6EVAN925","EASTWOOD VILLAGE RV PARK"
"R6GLCT000","STOCKTON"
"R6GLCT005","GILCREST"
"R6GLCT010","DOR CAR"
"R6GLCT015","CREST-MAR TOWNHOMES"
"R6GLCT020","HALL MINOR"
"R6GLCT025","COUNTRY MEADOWS"
"R6GLCT030","BLANCO MINOR"
"R6GLCT900","PATS MOBILE ESTATES #1"
"R6GRLY005","CLOVER  MEADOWS"
"R6GRLY010","MOUNTAIN VIEW CONDO"
"R6GRLY015","GIBRALTER"
"R6GRLY020","SHERWOOD PARK CONDO"
"R6GRLY025","COTTONWOOD CREEK"
"R6GRLY030","COTTONWOOD LEISURE EAST"
"R6GRLY035","LAKEMONT CONDO"
"R6GRLY040","PARKVIEW CONDOS"
"R6GRLY045","CASCADE PARK CONDO"
"R6GRLY050","RESERVOIR PINES"
"R6GRLY055","MIDWEST"
"R6GRLY060","WOODLAND PARK"
"R6GRLY065","ROYAL ESTATES CONDO"
"R6GRLY070","SUMMIT RORAL GARDENS"
"R6GRLY075","CONNEMARA"
"R6GRLY080","GLENMEADOWS"
"R6GRLY085","WEAVER HEIGHTS"
"R6GRLY090","ROYAL CONDO"
"R6GRLY095","ROYAL MANOR"
"R6GRLY100","ROYAL MANOR CONDO"
"R6GRLY105","TEASDALE GARDEN"
"R6GRLY110","THE HEIGHTS"
"R6GRLY115","GREELEY'S CONDOS"
"R6GRLY120","WESTLAKE COMMONS MINOR SUBDIVISION 2ND FILING"
"R6GRLY220","STOLL'S MINOR SUB"
"R6GRLY225","NORTHVIEW SUB"
"R6GRLY230","COTTAGES MINOR MP1"
"R6GRLY235","MOUNTAIN VIEW ACRES"
"R6GRLY240","25TH AVE CT CONDOS"
"R6GRLY245","ENGELS MINOR SUB"
"R6GRLY247","KIRK-WATSON 1ST RPLT"
"R6GRLY250","TRIANGLE MINOR SUBDIVISION"
"R6GRLY265","HART SUB"
"R6GRLY270","EAST OF 35TH AVE AND SOUTH OF 4TH ST"
"R6GRLY275","WEST OF 23RD AVE AND SOUTH OF 4TH ST"
"R6GRLY280","WEST OF 23RD AVE AND NORTH OF 4TH ST"
"R6GRLY285","WEST OF 23RD AVE AND NORTH OF 4TH ST"
"R6GRLY290","2ND ST N, 23RD AVE TO 14TH AVE"
"R6GRLY295","HABITAT NORTH SUB"
"R6GRLY300","5TH ST, 23RD AVE WEST TO 8TH AVE"
"R6GRLY305","23RD AVE S OF 5TH ST TO 8TH ST"
"R6GRLY310","10TH ST E OF 23RD AVE"
"R6GRLY315","WEST OF 23RD AVE AND SOUTH OF 10TH"
"R6GRLY320","16TH ST N, 21ST AVE TO 8TH AVE"
"R6GRLY325","HWY 85, 5TH ST TO 16TH ST"
"R6GRLY330","EAST OF 8TH AVE 16TH ST TO 11TH ST"
"R6GRLY335","NORTH OF 3RD ST, 11TH AVE TO 8TH AVE"
"R6GRLY340","14TH STREET CONDOS"
"R6GRLY345","35TH AVE  SOUTH 10TH ST CORRIDOR"
"R6GRLY350","35TH AVE  SOUTH 10TH ST"
"R6GRLY355","SHERWOOD PARK"
"R6GRLY360","MERRY SUB"
"R6GRLY365","WEST 23RD AVE NORTH OF 16TH ST CORRIDOR"
"R6GRLY370","EAST OF 35TH AVE AND SOUTH OF 16TH ST"
"R6GRLY375","COTTONWOOD VILLAGE"
"R6GRLY380","CASCADE PARK AND SUMMIT VIEW"
"R6GRLY385","PANORAMA PARK"
"R6GRLY390","BELAIR PARK AND LEADBETTER SUB"
"R6GRLY395","WEST LAKE AND BELAIR PARK"
"R6GRLY400","SOUTHRIDGE SUB"
"R6GRLY405","BRENTWOOD PARK"
"R6GRLY410","FARRS SUB"
"R6GRLY413","HILLSIDE"
"R6GRLY420","E 23RD AVE, 16TH ST TO 22ND"
"R6GRLY425","GLENMERE WEST"
"R6GRLY430","FAIRACRES"
"R6GRLY435","GLENMERE PARK"
"R6GRLY440","MOORES"
"R6GRLY445","GLENMERE SW"
"R6GRLY450","GLENMERE SE"
"R6GRLY455","ALLES ACRES"
"R6GRLY460","ALLES ACRES SOUTH"
"R6GRLY475","CRANFORD"
"R6GRLY480","11TH AVE AND 10TH AVE, S OF 16TH ST"
"R6GRLY490","GARDEN CITY"
"R6GRLY495","E OF 8TH AVE, S OF 22ND ST"
"R6GRLY500","ALTA VISTA"
"R6GRLY505","ARLINGTON"
"R6GRLY510","GREELEY INDUSTRIAL"
"R6GRLY515","SOMMERSETT SUB"
"R6GRLY520","WEDGEWOOD SUB"
"R6GRLY525","PARKVIEW"
"R6GRLY530","PARKVIEW SOUTH"
"R6GRLY535","EAST MEADOWS"
"R6GRLY540","BALSAM VILLAGE"
"R6GRLY545","PLAZA DEL SOL SUB"
"R6GRLY550","JRS MINOR SUB"
"R6GRLY555","RIVERVIEW FARM"
"R6GRLY600","CRESTVIEW"
"R6GRLY605","LANDMARK"
"R6GRLY610","SOUTHMOOR VILLAGE"
"R6GRLY615","SOUTH GREELEY MULTI UNITS"
"R6GRLY620","COLLEGE PARK CONDOS"
"R6GRLY625","LANDMARK"
"R6GRLY630","ESPANOLA"
"R6GRLY635","CLOVER CREEK DUPLEX"
"R6GRLY640","CLOVER CREEK"
"R6GRLY675","RAMSEIER MINOR"
"R6GRLY900","WAGON WHEEL MH PARK"
"R6GRLY903","VILLA WEST MH PARK"
"R6GRLY905","ALTA VISTA MH COMMUNITY"
"R6GRLY908","MEADOW MH VILLAGE NORTH"
"R6GRLY910","CIRCLE DRIVE MH PARK"
"R6GRLY913","WOODLANDS EAST MH PARK"
"R6GRLY918","COUNTRY SIDE MH PARK NORTH"
"R6GRLY925","GREELEY FRIENDLY VILLAGE"
