" LEA","LEADESC"
"C2WIND140","WATER VALLEY CROSSROAD AND 257"
"C2WIND141","HIGHWAY 34 COMMERCIAL"
"C2WIND145","GOOD SAMARITAN"
"C2WIND145PW1","WATER VALLEY SOUTH 8TH FILING"
"C2WIND150","WATER VALLEY SOUTH"
"C2WIND155","WINDSOR IND E LG LOTS"
"C2WIND160","WINDSOR APARTMENT"
"C2WIND165","WINDSOR PARKS"
"C2WIND170","RAINDANCE MULTIFAMILY"
"C2WIND175","WINDSOR BLADES"
"C2WIND180","FUTURE LEGENDS"
"C2WIND185","WATER VALLEY VAULTS"
"C2WIND190","SOUTH HILL COMMERCIAL"
"C2WIND190PW1","SOUTH HILL COMMERCIAL"
"C2WIND190PW2","SOUTH HILL 14TH FG"
"C2WIND195","GREENSPIRE COMMERCIAL"
"C2WIND195PW1","GREENSPIRE COMMERCIAL FIFTH FILING"
"C2WIND200","DIAMOND VALLEY 12TH FILING"
"C2WIND300","SOUTH GATE"
"C2WIND300PW2","SOUTH GATE"
"C2WIND300PW4","SOUTH GATE FILING 10"
"C2WIND300PW5","SOUTH GATE FILING 11"
"C3CHUR000","CHURCHES IN ECONOMIC AREA 3"
"C3DACO000","DACONO COMMERCIAL"
"C3DACO000PW1","DACONO COMMERCIAL"
"C3DACO000PW3","DACONO COMMERCIAL"
"C3DACO000PW4","DACONO COMMERCIAL"
"C3DACO005","DACONO INDUSTRIAL"
"C3DACO010","DACONO GATEWAY CENTER"
"C3DACO015","DACONO SILVER PEAKS"
"C3DACO015PW1","SILVER PEAKS FLG 2"
"C3DACO015PW2","SILVER PEAKS FLG 3"
"C3DACO020","DACONO SALVAGE YARD"
"C3DACO025","DACONO SWEETGRASS"
"C3DACO030","DACONO RANCHVIEW"
"C3DACO035","DACONO RX THERMAL"
"C3ERIE000","RIGHT MOVE SUBD AND AUSTIN INDUSTRIAL"
"C3ERIE000PW1","RIGHT MOVE SUBD AND AUSTIN INDUSTRIAL"
"C3ERIE005","ERIE RURAL COMMERCIAL"
"C3ERIE010","ERIE AIR PARK"
"C3ERIE010PW1","ERIE AIR PARK"
"C3ERIE015","ERIE COMMERCIAL"
"C3ERIE015PW1","ERIE COMMERCIAL"
"C3ERIE020","COAL CREEK AND ERIE COMMONS"
"C3ERIE020PW1","COAL CREEK AND ERIE COMMONS"
"C3ERIE020PW2","COAL CREEK AND ERIE COMMONS"
"C3ERIE020PW3","ERIE COMMMONS FG4 4TH AMD"
"C3ERIE020PW4","COAL CREEK CENTER 3RD AMD"
"C3ERIE025","BLUE EAGLE CONDO"
"C3ERIE030","ERIE EXCHANGE FG#3"
"C3ERIE030PW1","ERIE EXCHANGE FG#3"
"C3ERIE035","ERIE HIGHLANDS FG#8"
"C3ERIE040","VISTA RIDGE FG#11"
"C3ERIE045","VISTA RIDGE FG#2"
"C3ERIE045PW1","VISTA RIDGE FG#2"
"C3ERIE050","VISTA RIDGE MARKETPLACE"
"C3ERIE050PW1","VISTA RIDGE MARKETPLACE"
"C3ERIE050PW3","VISTA RIDGE FG 14 6TH"
"C3ERIE055","VISTA RIDGE GOLF COURSE"
"C3ERIE060","VISTA RIDGE FG#12 2ND AMD FINAL PLAT"
"C3ERIE065","VISTA RIDGE FG#10"
"C3ERIE070","VISTA RIDGE FG#6"
"C3ERIE070PW1","VISTA RIDGE FG 6 2ND AMD"
"C3ERIE070PW2","VISTA RIDGE FG 6 3RD AMD"
"C3ERIE075","ALTHEN BOYER"
"C3ERIE080","TURNPIKE MINOR"
"C3ERIE085","ERIE SPORTS COMPLEX"
"C3ERIE090PW1","ERIE HIGHLANDS"
"C3FIRE000","FIRESTONE CITY CENTER AND DEL CAMINO"
"C3FIRE000PW1","FIRESTONE CITY CENTER AND DEL CAMINO"
"C3FIRE005","FIRESTONE DEL CAMINO CENTRAL"
"C3FIRE005PW2","FIRESTONE DEL CAMINO CENTRAL"
"C3FIRE005PW3","DEL CAMINO CENTRAL FG 2 2ND AMD"
"C3FIRE010","FIRESTONE DEL CAMINO JUNCTION"
"C3FIRE010PW1","FIRESTONE DEL CAMINO JUNCTION"
"C3FIRE010PW3","FIRESTONE DEL CAMINO JUNCTION"
"C3FIRE015","FIRESTONE DEL CAMINO W OF I-25"
"C3FIRE015PW1","TURNER COMMONS FG 1"
"C3FIRE020","FIRESTONE CENTER"
"C3FIRE020PW2","FIRESTONE CENTER"
"C3FIRE020PW3","FIRESTONE CENTER"
"C3FIRE025","FIRESTONE COMMUNITY MINOR"
"C3FIRE030","FIRESTONE MEADOWS PUD"
"C3FIRE035","FIRESTONE COLO BLVD AND GRANT"
"C3FIRE040","FIRESTONE COLO BLVD AND CR20"
"C3FIRE045","FIRESTONE CR20 AND FRONTIER ST"
"C3FIRE050","FIRESTONE RETAIL CENTER (SAFEWAY)"
"C3FIRE050PW1","FIRESTONE RETAIL CENTER (SAFEWAY)"
"C3FIRE055","FIRESTONE CIMARRON POINT APT"
"C3FIRE060","FIRESTONE 19 & 26 CROSSING FG 1"
"C3FIRE060PW1","FIRESTONE 19 & 26 CROSSING FG 1"
"C3FIRE065","FIRELIGHT PARK MINOR"
"C3FIRE065PW1","FIRELIGHT PARK MINOR"
"C3FRED000","FREDERICK DEL CAMINO SOUTH"
"C3FRED000PW1","FREDERICK DEL CAMINO SOUTH"
"C3FRED005PW1","FREDERICK PARK 4040 SUB"
"C3FRED010PW1","FREDERICK BEAR INDUSTRIAL"
"C3FRED015","FREDERICK RASPBERRY HILL BUSINESS PARK"
"C3FRED020","FREDERICK WEST BUSINESS CENTER"
"C3FRED025","FREDERICK INDIAN PEAKS"
"C3FRED030","FREDERICK EAGLE BUSINESS PARK"
"C3FRED030PW1","FREDERICK EAGLE BUSINESS PARK"
"C3FRED030PW2","FREDERICK EAGLE BUSINESS PARK FLG 5"
"C3FRED035","FREDERICK MEADOWLARK BUSINESS PARK"
"C3FRED035PW1","FREDERICK MEADOWLARK BUSINESS PARK"
"C3FRED035PW2","FREDERICK MEADOWLARK BUSINESS PARK"
"C3FRED040","FREDERICK ROCKY MOUNTAIN CHURCH"
"C3FRED045","FREDERICK TOPS BUSINESS PARK"
"C3FRED045PW1","FREDERICK TOPS BUSINESS PARK"
"C3FRED045PW2","FREDERICK TOPS BUSINESS PARK"
"C3FRED050PW1","FREDERICK HALLECK SUBDIVISION"
"C3FRED055","FREDERICK COMMERCIAL"
"C3FRED060","FREDERICK CARRIAGE HILLS MKT PL"
"C3FRED060PW1","CARRIAGE HILLS MARKETPLACE FLG 1 AMD A"
"C3FRED075","FREDERICK WHYDHAM HILL FG#3"
"C3FRED080","FREDERICK WYNDHAM HILL FG#6"
"C3FRED085","FREDERICK GLACIER BUSINESS PARK"
"C3FRED085PW4","FREDERICK GLACIER BUSINESS PARK"
"C3FRED085PW5","FREDERICK GLACIER BUSINESS PARK"
"C3FRED090PW1","CANINO AMD"
"C3FRED095PW1","SILVERSTONE MARKETPLACE"
"C3FRED100PW1","SILVERSTONE COMMONS MINOR"
"C3LONG000","LONGMONT SANDSTONE AND MCLANE"
"C3LONG000PW1","LONGMONT SANDSTONE AND MCLANE"
"C3LONG005","LONGMONT CONCEPTS DIRECT"
"C3LONG010PW1","SANDSTONE MARKETPLACE FG NO. 1 RPLT B"
"C3MEAD000","MEAD COMMERCIAL"
"C3MEAD005","MEAD ULTIMATE GARAGE CLUB"
"C3MEAD010","MEAD COMMERCIAL ACRES"
"C3MEAD015","MEAD RATERINK SUB"
"C3MEAD020PW1","MEAD RADEMAKER BUSINESS PARK"
"C3MEAD025","MEAD SEKICH, VALLEY 66, LYONS 66"
"C3MEAD025PW1","MEAD SEKICH, VALLEY 66, LYONS 66"
"C3MEAD030","MEAD CROSSINGS"
"C3MEAD035","MEAD RITCHIE BROTHERS"
"C3MEAD040PW1","POSTLE SUB FG#1"
"C3MEAD045PW1","ELEVATION 25 FILING NO. 1"
"C3MEAD050PW1","MEAD CROSSING AMD #2"
"C3SCHL000","SCHOOLS IN ECONOMIC AREA 3"
"C3WELD000","PANORAM INDUSTRIAL PARK SUB"
"C3WELD005","DEL CAMINO-WESTERN DAIRYMAN"
"C3WELD010","DEL CAMINO LONGMONT 119"
"C3WELD015","DEL CAMINO CENTER"
"C3WELD020","VISTA COMMERCIAL LONGMONT"
"C3WELD020PW1","VISTA COMMERCIAL LONGMONT"
"C3WELD025","SW COR COLO BLVD AND GODDING HOLLOW"
"C3WELD040","WELD TWN 1 RANGE 68"
"C3WELD045","VISTA COMMERCIAL LONGMONT"
"C4BRGT000","BRIGHTON INDUSTRIAL <3 ACRES"
"C4BRGT005","BRIGHTON INDUSTRIAL >3 ACRES"
"C4BRGT005PW1","BRIGHTON VESTAS NORTH CAMPUS"
"C4BRGT005TM1","BRIGHTON INDUSTRIAL >3 ACRES"
"C4CHUR000","CHURCH IN ECONOMIC AREA 4"
"C4FRED065","FREDERICK JOHNSON FARMS/SPINDLE HILL"
"C4FRED070","FREDERICK CARBON VALLEY COMMERCIAL"
"C4FTLP000","FORT LUPTON CENTRAL COMMERCIAL"
"C4FTLP005","FORT LUPTON NORTH COMMERCIAL"
"C4FTLP010","FORT LUPTON 52 COMMERCIAL"
