" BLTASOCC","BLTASOCCDESC"
"567","Poultry House - Cage"
"57","Duplex Split Level"
"573","Arcade"
"574","Visitor Center"
"575","Dining Atriums"
"576","Atriums/Vestibules"
"577","Parking Levels"
"58","Duplex Two Story"
"580","Truck Stop Restaurant"
"582","Branch Post Office"
"583","Mail Processing Facility"
"584","Mega Warehouse"
"585","Mechanical Penthouse"
"586","Roadside Markets"
"596","Comm Hog Barn"
"598","Relocatable Classroom"
"599","Relocatable Office"
"6","1 1/2 Story Unfin"
"600","Comm Shed - Poultry"
"601","Comm Shed - Equipment"
"602","Administration Bldg"
"604","Comm Shed - Utility"
"61","Townhouse One Story"
"65","Townhouse  1 1/2 Story"
"67","Townhouse Split Level"
"68","Townhouse Two Story"
"7","Split Level"
"700","Basement House"
"71","Triplex One Story"
"718","Banquet Halls"
"719","Modular Restaurants - Diners"
"720","Mega Warehouse Stores"
"75","Triplex  1 1/2 Story"
"77","Triplex Split Level"
"777","Shell Luxury Apartment Buildings"
"778","Shell Hotel Full Service Buildings"
"779","Shell Hotel Limited Service Buildings"
"78","Triplex Two Story"
"780","Shell Motel"
"781","Shell Extended Stay Motels"
"8","2 Story"
"9","2 1/2 Story Fin"
"95","Residential Tennis Court"
"99","Detached Garage"
